Medal,Number_of_Medals,region,Year,Sport
Bronze,1,Norway,1952,Alpine Skiing
Bronze,2,Individual Olympic Athletes,1992,Shooting
Gold,1,Germany,2008,Judo
Bronze,4,Russia,1964,Judo
Silver,1,Brazil,1992,Swimming
Gold,1,Hungary,1988,Gymnastics
Silver,5,Switzerland,1928,Rowing
Gold,16,Netherlands,1996,Hockey
Silver,2,Canada,2008,Rowing
Bronze,6,Canada,1984,Swimming
Gold,4,UK,2004,Sailing
Bronze,13,Russia,2000,Water Polo
Silver,18,Argentina,1996,Football
Silver,12,Denmark,1960,Football
Silver,7,Germany,2006,Biathlon
Silver,8,Russia,1992,Volleyball
Bronze,12,China,1984,Basketball
Bronze,6,Russia,1964,Swimming
Gold,14,USA,1948,Basketball
Silver,10,Russia,1956,Athletics
Gold,6,Norway,2014,Cross Country Skiing
Gold,4,Russia,1996,Wrestling
Gold,4,France,2016,Fencing
Silver,2,Norway,1994,Ski Jumping
Bronze,3,USA,1972,Boxing
Bronze,6,France,1900,Shooting
Bronze,3,Norway,1952,Speed Skating
Gold,24,Norway,1912,Gymnastics
Silver,3,USA,1952,Figure Skating
Gold,4,Germany,2010,Speed Skating
Silver,1,Finland,1996,Wrestling
Silver,2,Russia,1992,Shooting
Silver,2,Canada,1998,Speed Skating
Bronze,3,UK,1912,Tennis
Silver,14,Germany,1980,Athletics
Gold,16,Australia,1988,Hockey
Silver,3,Kenya,2000,Athletics
Gold,3,Belgium,1920,Sailing
Gold,2,New Zealand,2016,Sailing
Bronze,8,USA,2014,Figure Skating
Silver,1,Turkey,2008,Athletics
Gold,1,France,1996,Shooting
Gold,12,Brazil,1992,Volleyball
Silver,4,Switzerland,1980,Bobsleigh
Bronze,17,Serbia,1984,Football
Gold,12,Australia,2016,Rugby Sevens
Bronze,6,USA,1904,Tennis
Bronze,3,Hungary,1992,Boxing
Silver,1,Norway,2010,Freestyle Skiing
Bronze,9,Germany,1984,Swimming
Gold,12,France,1932,Fencing
Gold,4,Switzerland,1972,Bobsleigh
Silver,1,USA,2004,Taekwondo
Bronze,4,Canada,2012,Diving
Bronze,2,Germany,2000,Beach Volleyball
Gold,1,Greece,1906,Gymnastics
Silver,11,Sweden,1984,Canoeing
Gold,22,USA,1988,Athletics
Bronze,1,Uzbekistan,2012,Boxing
Bronze,4,UK,1998,Bobsleigh
Gold,11,USA,1984,Rowing
Silver,7,Hungary,1956,Gymnastics
Gold,2,Netherlands,2016,Sailing
Gold,2,Spain,1992,Athletics
Silver,6,USA,1968,Athletics
Bronze,6,Russia,1980,Fencing
Bronze,8,USA,2016,Fencing
Gold,2,Morocco,1984,Athletics
Silver,2,Australia,2008,Sailing
Gold,11,Russia,1980,Equestrianism
Gold,1,South Africa,1928,Athletics
Bronze,9,Russia,1968,Rowing
Bronze,1,Hungary,1952,Shooting
Gold,15,Spain,1992,Hockey
Bronze,11,USA,2004,Synchronized Swimming
Silver,2,Azerbaijan,2008,Wrestling
Bronze,1,Ukraine,2000,Gymnastics
Bronze,11,Russia,1964,Athletics
Bronze,2,Romania,1980,Canoeing
Bronze,4,Brazil,2000,Swimming
Gold,1,Canada,1994,Freestyle Skiing
Silver,4,France,1924,Tennis
Silver,4,Switzerland,1924,Equestrianism
Bronze,3,Brazil,2008,Judo
Gold,16,Croatia,1996,Handball
Gold,2,France,2008,Cycling
Gold,5,Finland,1960,Cross Country Skiing
Silver,12,Spain,1984,Basketball
Gold,1,Belarus,2008,Weightlifting
Silver,4,Russia,2002,Figure Skating
Gold,11,USA,1908,Shooting
Bronze,4,Germany,2012,Fencing
Gold,1,Poland,1964,Weightlifting
Silver,15,Sweden,1912,Sailing
Bronze,4,France,1992,Cycling
Bronze,5,Germany,1992,Athletics
Gold,9,Germany,2016,Canoeing
Gold,5,Switzerland,1920,Rowing
Bronze,2,Bulgaria,1972,Canoeing
Silver,1,Italy,1972,Swimming
Bronze,3,France,1992,Swimming
Bronze,1,Spain,1984,Athletics
Gold,5,Canada,2006,Curling
Gold,18,Russia,1976,Ice Hockey
Bronze,4,China,1998,Short Track Speed Skating
Bronze,2,Sweden,1984,Wrestling
Silver,1,Italy,1972,Equestrianism
Silver,1,South Africa,1924,Athletics
Silver,2,Cuba,2004,Canoeing
Silver,15,USA,1984,Athletics
Silver,1,New Zealand,1984,Boxing
Gold,1,Canada,1984,Diving
Bronze,2,Belarus,2004,Rowing
Gold,20,Russia,1984,Ice Hockey
Silver,6,UK,2004,Rowing
Gold,12,Canada,1904,Lacrosse
Silver,3,Italy,1996,Canoeing
Gold,18,USA,1960,Athletics
Bronze,2,Canada,1992,Figure Skating
Gold,10,Russia,1968,Gymnastics
Bronze,4,Italy,1996,Fencing
Gold,15,France,1900,Rugby
Bronze,19,Russia,1976,Athletics
Silver,5,France,1920,Athletics
Gold,20,Norway,1906,Gymnastics
Gold,13,UK,2000,Rowing
Silver,24,Belgium,1920,Gymnastics
Silver,3,Australia,2004,Canoeing
Silver,20,Russia,1980,Ice Hockey
Gold,2,Germany,1992,Tennis
Bronze,18,Germany,1972,Swimming
Bronze,5,Trinidad,1964,Athletics
Silver,1,Australia,2012,Diving
Bronze,8,France,1920,Archery
Bronze,10,UK,1912,Shooting
Silver,5,Italy,1968,Fencing
Silver,6,Switzerland,1994,Bobsleigh
Gold,8,Cuba,2000,Volleyball
Gold,35,USA,1992,Swimming
Silver,15,Australia,2004,Softball
Silver,1,France,1928,Boxing
Bronze,1,Turkey,2008,Wrestling
Silver,2,Germany,1972,Bobsleigh
Bronze,17,Italy,1928,Football
Silver,8,Russia,1960,Athletics
Silver,5,France,1900,Tug-Of-War
Silver,6,Germany,1994,Biathlon
Gold,19,Russia,1992,Gymnastics
Gold,1,Russia,1968,Ski Jumping
Gold,21,Czech Republic,1998,Ice Hockey
Bronze,1,Cuba,1980,Weightlifting
Silver,8,Germany,1988,Cycling
Gold,5,Sweden,1956,Equestrianism
Silver,2,Germany,1904,Swimming
Gold,18,USA,2004,Athletics
Gold,9,Italy,1924,Gymnastics
Gold,3,UK,2000,Sailing
Bronze,5,Russia,2002,Biathlon
Gold,12,Italy,1960,Water Polo
Bronze,1,Germany,2006,Cross Country Skiing
Silver,12,USA,1988,Athletics
Gold,2,Italy,1964,Boxing
Gold,16,France,1984,Football
Silver,12,Russia,2000,Water Polo
Gold,14,Belgium,1920,Football
Silver,2,Netherlands,1928,Swimming
Bronze,4,France,2016,Rowing
Silver,11,USA,1904,Football
Silver,12,Australia,2004,Basketball
Silver,2,Austria,1906,Wrestling
Bronze,8,Canada,2000,Synchronized Swimming
Bronze,4,Australia,1976,Equestrianism
Gold,24,Sweden,1912,Gymnastics
Silver,13,Croatia,2016,Water Polo
Silver,16,Belgium,2016,Hockey
Gold,1,Bulgaria,2000,Weightlifting
Bronze,6,USA,1988,Athletics
Gold,1,Australia,2002,Freestyle Skiing
Gold,10,China,2016,Diving
Bronze,5,USA,1932,Gymnastics
Bronze,11,Greece,1906,Football
Silver,1,Mexico,1984,Wrestling
Silver,3,USA,2006,Figure Skating
Gold,7,UK,2008,Sailing
Bronze,1,Armenia,2012,Wrestling
Silver,17,Brazil,2004,Football
Bronze,12,Brazil,1996,Volleyball
Silver,6,Italy,1928,Fencing
Bronze,1,Hungary,1924,Wrestling
Gold,15,Croatia,2004,Handball
Bronze,2,Chile,1956,Boxing
Silver,1,Colombia,1972,Shooting
Gold,12,Russia,1972,Basketball
Bronze,4,France,1924,Military Ski Patrol
Silver,5,USA,1932,Swimming
Silver,4,Belgium,2008,Athletics
Gold,1,Italy,1908,Gymnastics
Bronze,1,USA,1904,Roque
Bronze,1,UK,1924,Swimming
Bronze,7,Italy,1994,Cross Country Skiing
Gold,13,Serbia,2016,Water Polo
Silver,28,Denmark,1912,Gymnastics
Gold,1,USA,1968,Shooting
Bronze,3,Russia,1976,Speed Skating
Bronze,4,Finland,1948,Canoeing
Silver,2,Germany,1968,Bobsleigh
Gold,18,Germany,1972,Hockey
Silver,6,Ukraine,2000,Gymnastics
Bronze,12,Italy,1984,Volleyball
Gold,11,Hungary,1956,Water Polo
Silver,2,Romania,1996,Canoeing
Bronze,3,Switzerland,1920,Rowing
Bronze,5,UK,1908,Tennis
Bronze,16,Germany,2008,Football
Bronze,1,Guyana,1980,Boxing
Gold,17,Romania,1984,Rowing
Silver,14,Australia,2016,Swimming
Gold,12,Italy,1992,Water Polo
Gold,19,USA,1980,Ice Hockey
Bronze,1,Australia,1952,Weightlifting
Bronze,5,Brazil,1920,Shooting
Gold,4,Italy,1984,Cycling
Gold,3,USA,1992,Wrestling
Bronze,1,UK,2012,Equestrianism
Gold,2,Italy,2000,Cycling
Bronze,12,Russia,1980,Basketball
Silver,10,UK,1920,Rowing
Silver,25,Denmark,1920,Gymnastics
Gold,8,Germany,1980,Canoeing
Bronze,5,Germany,1988,Canoeing
Gold,5,Russia,2010,Biathlon
Gold,17,USA,2008,Football
Bronze,5,France,1924,Sailing
Gold,1,Norway,1952,Cross Country Skiing
Bronze,3,France,1932,Rowing
Bronze,13,Russia,1988,Athletics
Gold,4,Italy,1920,Cycling
Silver,6,Germany,2010,Bobsleigh
Bronze,3,France,1908,Sailing
Gold,7,Russia,2000,Rhythmic Gymnastics
Silver,5,USA,2012,Cycling
Bronze,5,Sweden,1936,Cross Country Skiing
Silver,2,France,1928,Equestrianism
Bronze,3,Belgium,1920,Art Competitions
Gold,7,Italy,1996,Fencing
Silver,2,Canada,2006,Bobsleigh
Gold,3,China,2000,Shooting
Gold,5,Italy,2004,Fencing
Bronze,12,USA,1912,Athletics
Gold,1,New Zealand,2012,Athletics
Silver,11,Germany,1960,Cycling
Gold,16,Netherlands,2008,Hockey
Gold,2,Indonesia,2016,Badminton
Bronze,1,Kuwait,2000,Shooting
Bronze,16,UK,1912,Athletics
Gold,1,Australia,1988,Swimming
Bronze,4,Russia,1992,Archery
Silver,5,Germany,2016,Equestrianism
Silver,14,UK,1920,Athletics
Bronze,1,Russia,1980,Sailing
Bronze,16,UK,2012,Hockey
Silver,5,Greece,1906,Tennis
Silver,4,UK,2000,Sailing
Silver,12,Germany,1988,Fencing
Silver,16,Germany,1992,Hockey
Gold,10,Cuba,1996,Volleyball
Gold,4,UK,1964,Athletics
Gold,3,USA,1994,Speed Skating
Silver,3,Sweden,1948,Sailing
Bronze,1,Ukraine,2016,Athletics
Gold,18,Cameroon,2000,Football
Silver,1,UK,1984,Judo
Silver,14,Russia,1992,Athletics
Gold,6,Canada,1996,Athletics
Silver,4,Cuba,2008,Boxing
Gold,9,USA,1984,Boxing
Bronze,13,Germany,1972,Athletics
Bronze,4,Germany,1972,Luge
Silver,4,UK,2000,Equestrianism
Bronze,4,Switzerland,1968,Bobsleigh
Gold,2,South Africa,1932,Boxing
Bronze,3,Russia,2008,Weightlifting
Bronze,16,Hungary,1960,Football
Silver,1,UK,1924,Cycling
Silver,12,Brazil,2012,Volleyball
Gold,50,USA,1984,Swimming
Bronze,13,Russia,1992,Water Polo
Silver,1,Belarus,2000,Shooting
Gold,14,Hungary,1964,Football
Gold,1,Italy,1960,Athletics
Silver,3,Denmark,1968,Sailing
Silver,2,Switzerland,1972,Alpine Skiing
Gold,1,Argentina,1948,Athletics
Gold,3,China,2016,Badminton
Bronze,5,Cuba,1972,Athletics
Silver,10,Belgium,1900,Water Polo
Bronze,7,Romania,1964,Canoeing
Bronze,3,Ukraine,2000,Boxing
Silver,2,Greece,2004,Athletics
Bronze,5,Sweden,1924,Shooting
Silver,2,USA,1952,Wrestling
Bronze,2,Sweden,1936,Canoeing
Bronze,4,France,1900,Archery
Silver,1,France,2004,Fencing
Bronze,1,Austria,1924,Weightlifting
Silver,3,Switzerland,1964,Equestrianism
Gold,6,Australia,1972,Swimming
Silver,1,Poland,1976,Weightlifting
Bronze,9,Belarus,1996,Rowing
Gold,2,Greece,2000,Weightlifting
Bronze,1,Hungary,2000,Boxing
Silver,1,Puerto Rico,2012,Wrestling
Bronze,8,Czech Republic,1980,Cycling
Gold,1,Ukraine,2012,Canoeing
Bronze,5,Russia,2012,Athletics
Bronze,6,South Korea,2012,Fencing
Bronze,1,Canada,2014,Short Track Speed Skating
Gold,1,UK,1980,Figure Skating
Gold,3,New Zealand,1984,Sailing
Silver,1,Canada,1964,Athletics
Bronze,1,Brazil,1968,Boxing
Gold,3,Hungary,2008,Canoeing
Bronze,2,Bulgaria,1980,Shooting
Gold,1,Turkey,1936,Wrestling
Gold,1,Sweden,1968,Modern Pentathlon
Gold,1,Australia,1924,Alpinism
Bronze,7,Canada,1984,Rowing
Gold,1,France,1928,Weightlifting
Silver,12,Peru,1988,Volleyball
Bronze,1,Belarus,2012,Rhythmic Gymnastics
Bronze,8,USA,1976,Athletics
Gold,2,Hungary,1956,Canoeing
Gold,1,USA,1948,Alpine Skiing
Gold,1,USA,1964,Boxing
Silver,4,Switzerland,2000,Equestrianism
Bronze,2,Germany,1964,Cycling
Bronze,1,Cuba,2004,Wrestling
Bronze,10,Romania,1980,Volleyball
Bronze,2,Netherlands,1988,Canoeing
Silver,5,Norway,1988,Cross Country Skiing
Gold,3,France,1992,Sailing
Gold,5,China,2016,Weightlifting
Bronze,2,Poland,1968,Boxing
Silver,1,UK,1896,Weightlifting
Gold,1,Denmark,1952,Sailing
Bronze,3,Denmark,1952,Rowing
Silver,4,Germany,2014,Nordic Combined
Gold,1,USA,2008,Wrestling
Gold,4,Russia,2016,Wrestling
Bronze,2,Russia,1988,Sailing
Silver,8,UK,1984,Equestrianism
Bronze,2,USA,2014,Snowboarding
Gold,1,UK,1988,Shooting
Bronze,1,Australia,2004,Archery
Bronze,1,USA,1996,Gymnastics
Bronze,1,New Zealand,2008,Triathlon
Bronze,3,Poland,1996,Archery
Gold,1,France,1992,Archery
Silver,1,Hungary,2008,Wrestling
Silver,2,Hungary,1964,Weightlifting
Silver,1,Egypt,2012,Wrestling
Gold,19,China,2008,Gymnastics
Gold,1,Hungary,1952,Athletics
Silver,1,Italy,1988,Cross Country Skiing
Gold,20,Germany,1980,Swimming
Bronze,1,USA,1924,Equestrianism
Gold,7,Hungary,2012,Canoeing
Gold,1,Bulgaria,2008,Rowing
Gold,3,Italy,2000,Swimming
Bronze,1,Spain,2000,Cycling
Gold,6,Russia,1980,Canoeing
Gold,1,Italy,1952,Alpine Skiing
Gold,5,Germany,1960,Athletics
Silver,4,Poland,2014,Speed Skating
Bronze,4,Brazil,2000,Equestrianism
Gold,1,Bulgaria,2004,Weightlifting
Silver,1,Czech Republic,1972,Diving
Bronze,4,Germany,1988,Speed Skating
Bronze,2,Argentina,2008,Sailing
Bronze,6,France,1976,Fencing
Gold,2,Poland,2016,Rowing
Bronze,1,Thailand,1992,Boxing
Bronze,3,Romania,1976,Wrestling
Gold,1,UK,1984,Shooting
Silver,3,France,1936,Equestrianism
Silver,1,Chile,1988,Shooting
Bronze,3,Slovenia,1994,Alpine Skiing
Gold,2,South Africa,1948,Boxing
Silver,5,Jamaica,1984,Athletics
Silver,3,Spain,2004,Cycling
Bronze,2,Russia,1960,Boxing
Silver,4,USA,1968,Speed Skating
Gold,2,Taiwan,2004,Taekwondo
Bronze,6,Russia,2008,Athletics
Gold,4,UK,1920,Sailing
Bronze,1,Argentina,2012,Tennis
Silver,2,France,1992,Figure Skating
Gold,4,Denmark,1996,Rowing
Bronze,3,USA,1984,Rowing
Silver,1,USA,2004,Tennis
Gold,1,Australia,1988,Athletics
Bronze,2,Denmark,1932,Cycling
Silver,2,Spain,1984,Rowing
Gold,1,Italy,1994,Alpine Skiing
Bronze,1,Hungary,1992,Judo
Bronze,1,Puerto Rico,2012,Athletics
Bronze,2,Brazil,2016,Judo
Bronze,4,USA,1932,Diving
Gold,8,Germany,2000,Canoeing
Gold,1,Germany,2004,Trampolining
Silver,3,Belgium,1900,Archery
Silver,9,Switzerland,1952,Gymnastics
Silver,3,Germany,2006,Luge
Bronze,6,Poland,1928,Fencing
Silver,20,Japan,1968,Volleyball
Bronze,2,Poland,2012,Rowing
Gold,1,Italy,1996,Gymnastics
Gold,7,Russia,1964,Canoeing
Bronze,1,UK,1924,Diving
Gold,3,USA,1956,Diving
Bronze,1,Canada,1976,Figure Skating
Bronze,3,Brazil,2012,Judo
Bronze,5,Sweden,1906,Athletics
Silver,3,Russia,2016,Archery
Silver,1,USA,2008,Cycling
Bronze,1,Italy,1952,Fencing
Silver,3,Norway,1968,Speed Skating
Gold,2,Croatia,2016,Sailing
Silver,2,Norway,1998,Snowboarding
Silver,1,Japan,2012,Archery
Bronze,1,Denmark,1948,Diving
Silver,4,Austria,1968,Bobsleigh
Bronze,2,Sweden,2016,Wrestling
Bronze,1,Denmark,2008,Swimming
Bronze,5,Kenya,2012,Athletics
Gold,2,USA,2002,Snowboarding
Bronze,5,Canada,1992,Swimming
Silver,6,Romania,1972,Canoeing
Silver,4,Hungary,1968,Rowing
Bronze,6,Azerbaijan,2016,Wrestling
Silver,1,UK,1904,Athletics
Gold,1,Norway,1956,Athletics
Bronze,1,Nigeria,1996,Boxing
Silver,1,Germany,1900,Cycling
Bronze,1,Russia,2016,Sailing
Bronze,1,France,1924,Boxing
Silver,15,China,1996,Football
Silver,1,Canada,2004,Trampolining
Bronze,2,USA,1976,Sailing
Bronze,3,USA,1932,Swimming
Bronze,4,Brazil,1996,Equestrianism
Gold,2,Spain,2008,Sailing
Gold,2,Hungary,1980,Canoeing
Silver,1,Bulgaria,1988,Swimming
Gold,2,Russia,1996,Weightlifting
Gold,5,China,2000,Weightlifting
Gold,11,USA,1952,Rowing
Gold,1,France,1900,Swimming
Bronze,5,USA,1996,Equestrianism
Silver,1,Latvia,2014,Skeleton
Bronze,2,Kazakhstan,2016,Boxing
Gold,1,Mongolia,2008,Boxing
Silver,1,USA,1948,Alpine Skiing
Silver,2,China,2008,Wrestling
Silver,13,South Korea,1988,Handball
Gold,1,Italy,1998,Alpine Skiing
Silver,2,USA,1928,Boxing
Gold,1,USA,1906,Swimming
Bronze,1,Netherlands,1980,Speed Skating
Silver,5,Spain,1920,Polo
Bronze,1,Russia,2016,Cycling
Gold,2,UK,1908,Archery
Silver,4,USA,1964,Equestrianism
Silver,3,USA,2012,Archery
Bronze,1,Mexico,2012,Taekwondo
Gold,7,China,2000,Diving
Silver,4,New Zealand,1972,Rowing
Gold,4,Canada,1992,Short Track Speed Skating
Silver,3,Russia,2000,Shooting
Gold,1,Austria,1936,Weightlifting
Bronze,3,Serbia,1980,Rowing
Bronze,2,Taiwan,2008,Weightlifting
Gold,1,Denmark,1920,Diving
Bronze,2,Australia,1996,Beach Volleyball
Bronze,2,France,1928,Wrestling
Silver,1,Germany,1980,Ski Jumping
Silver,1,Italy,1960,Equestrianism
Silver,4,Latvia,2014,Bobsleigh
Bronze,1,China,1996,Gymnastics
Silver,6,Canada,1984,Swimming
Bronze,2,France,2000,Synchronized Swimming
Bronze,2,Canada,1948,Figure Skating
Silver,1,Germany,1976,Gymnastics
Gold,5,Canada,2010,Curling
Bronze,1,Venezuela,2016,Boxing
Bronze,3,Switzerland,1956,Equestrianism
Silver,2,USA,1996,Gymnastics
Bronze,4,Australia,1968,Equestrianism
Silver,7,Romania,1976,Gymnastics
Bronze,2,USA,1956,Diving
Silver,1,Germany,1976,Ski Jumping
Bronze,1,Netherlands,1900,Swimming
Gold,1,France,1928,Athletics
Bronze,2,Serbia,1988,Table Tennis
Bronze,1,Brazil,2004,Athletics
Bronze,16,France,1992,Handball
Bronze,1,Mexico,2000,Taekwondo
Silver,2,Australia,1996,Athletics
Silver,11,Switzerland,1948,Gymnastics
Bronze,1,Iceland,1984,Judo
Silver,4,Italy,1996,Fencing
Silver,1,Canada,2012,Swimming
Bronze,1,Austria,1976,Shooting
Gold,2,UK,2016,Equestrianism
Gold,6,Germany,2002,Bobsleigh
Bronze,2,Denmark,2004,Badminton
Silver,1,Germany,1994,Alpine Skiing
Gold,3,Greece,1960,Sailing
Gold,1,Australia,2016,Modern Pentathlon
Gold,8,Japan,1976,Gymnastics
Gold,4,Russia,1976,Cycling
Gold,13,Russia,1976,Canoeing
Gold,1,Switzerland,2010,Cross Country Skiing
Gold,3,USA,1984,Synchronized Swimming
Silver,4,New Zealand,1992,Sailing
Bronze,6,Portugal,1928,Fencing
Silver,2,France,1908,Cycling
Gold,1,Bulgaria,1960,Wrestling
Gold,2,Spain,1984,Sailing
Bronze,6,Canada,1988,Swimming
Bronze,1,USA,2012,Shooting
Bronze,7,Russia,2012,Swimming
Silver,1,Colombia,2012,Weightlifting
Bronze,1,Slovenia,2004,Athletics
Silver,2,Malaysia,1996,Badminton
Gold,3,Italy,1992,Alpine Skiing
Bronze,2,Slovenia,2012,Rowing
Silver,1,France,2006,Cross Country Skiing
Silver,1,Spain,2008,Gymnastics
Silver,4,USA,1992,Short Track Speed Skating
Silver,1,Russia,2014,Speed Skating
Gold,2,France,1932,Cycling
Silver,9,USA,1972,Rowing
Gold,7,France,1924,Water Polo
Bronze,1,Norway,1984,Speed Skating
Bronze,1,Italy,1976,Archery
Bronze,1,UK,2004,Equestrianism
Bronze,6,Slovenia,1992,Rowing
Bronze,5,Australia,2012,Rowing
Silver,6,UK,1912,Fencing
Bronze,4,Portugal,1924,Equestrianism
Bronze,5,UK,1906,Swimming
Bronze,1,Romania,1992,Boxing
Silver,5,Romania,1984,Weightlifting
Silver,3,Cuba,1996,Boxing
Bronze,12,Germany,1984,Water Polo
Gold,13,South Korea,1992,Handball
Silver,4,Ukraine,2000,Cycling
Silver,1,USA,1996,Canoeing
Silver,5,UK,1928,Swimming
Gold,1,Zimbabwe,2008,Swimming
Bronze,3,UK,1920,Boxing
Gold,5,Norway,2002,Curling
Silver,2,UK,2008,Swimming
Gold,2,France,1924,Weightlifting
Silver,6,Russia,1980,Boxing
Bronze,4,Sweden,2014,Curling
Bronze,2,USA,1948,Diving
Gold,3,Russia,1956,Boxing
Silver,4,Russia,2006,Biathlon
Gold,1,Ireland,1956,Athletics
Bronze,2,Ethiopia,2004,Athletics
Bronze,3,Japan,2012,Judo
Gold,4,USA,1988,Tennis
Gold,3,Germany,1996,Sailing
Silver,13,Austria,1936,Football
Bronze,1,Serbia,1964,Gymnastics
Silver,4,Russia,1994,Biathlon
Silver,6,Russia,1956,Gymnastics
Gold,1,Cuba,1980,Athletics
Bronze,2,Brazil,1968,Sailing
Gold,8,China,2012,Table Tennis
Bronze,2,Austria,1972,Alpine Skiing
Silver,6,France,1900,Shooting
Silver,3,Sweden,1952,Modern Pentathlon
Gold,9,USA,2016,Rowing
Silver,2,USA,2008,Shooting
Gold,6,Hungary,1972,Fencing
Gold,2,UK,2016,Athletics
Bronze,2,Norway,2004,Canoeing
Silver,1,Netherlands,2016,Boxing
Gold,1,Italy,1988,Fencing
Gold,12,Russia,1972,Canoeing
Bronze,1,Argentina,1996,Boxing
Silver,2,USA,1932,Equestrianism
Gold,16,USA,1928,Swimming
Bronze,2,Australia,1948,Swimming
Gold,5,Russia,1992,Figure Skating
Silver,1,Russia,2012,Rhythmic Gymnastics
Gold,1,Norway,1964,Ski Jumping
Gold,1,Egypt,2004,Wrestling
Silver,18,Czech Republic,1968,Ice Hockey
Bronze,3,Germany,1968,Shooting
Silver,1,Latvia,1932,Athletics
Silver,15,UK,1908,Rugby
Bronze,3,Germany,1932,Athletics
Bronze,1,France,1896,Cycling
Bronze,1,Liechtenstein,1988,Alpine Skiing
Bronze,4,Japan,2016,Table Tennis
Silver,3,USA,1960,Equestrianism
Silver,1,Argentina,1948,Shooting
Bronze,2,USA,1998,Snowboarding
Silver,2,Hungary,1988,Swimming
Bronze,1,Hungary,1976,Gymnastics
Gold,4,Germany,1984,Speed Skating
Silver,1,Norway,1952,Alpine Skiing
Bronze,3,Switzerland,1952,Gymnastics
Bronze,1,Mexico,1964,Boxing
Gold,1,Canada,1984,Rhythmic Gymnastics
Gold,5,China,2004,Weightlifting
Silver,3,Hungary,2008,Swimming
Gold,1,USA,2010,Nordic Combined
Silver,5,Austria,2010,Biathlon
Bronze,6,Japan,2016,Swimming
Silver,4,USA,1968,Equestrianism
Silver,2,Australia,1960,Athletics
Silver,1,Romania,1960,Wrestling
Silver,1,Italy,1996,Cycling
Gold,9,Canada,1984,Rowing
Bronze,4,USA,1908,Swimming
Silver,4,UK,1936,Polo
Bronze,2,Hungary,1980,Sailing
Bronze,4,Italy,1972,Equestrianism
Bronze,3,Hungary,1992,Canoeing
Bronze,4,Russia,2000,Rowing
Gold,4,Germany,1984,Rowing
Silver,5,Belgium,1908,Shooting
Bronze,3,Mexico,1900,Polo
Gold,2,Germany,1968,Canoeing
Silver,2,Spain,2008,Sailing
Silver,3,Austria,1980,Sailing
Bronze,6,Germany,1936,Gymnastics
Gold,2,Italy,1920,Athletics
Bronze,1,Sweden,1972,Speed Skating
Gold,12,Serbia,1980,Basketball
Bronze,11,Hungary,1980,Water Polo
Bronze,4,France,1992,Judo
Bronze,3,Romania,1984,Wrestling
Gold,1,Austria,2014,Snowboarding
Silver,1,Bulgaria,2000,Rowing
Bronze,12,Russia,1980,Athletics
Bronze,3,Sweden,1988,Tennis
Silver,2,UK,2004,Badminton
Bronze,4,Netherlands,1980,Swimming
Bronze,4,France,1956,Rowing
Bronze,6,USA,2008,Athletics
Bronze,1,Hungary,2012,Canoeing
Silver,2,Russia,1994,Speed Skating
Gold,1,UK,1968,Boxing
Silver,1,France,1992,Canoeing
Bronze,5,Belgium,1920,Sailing
Bronze,2,Ethiopia,2008,Athletics
Gold,7,Netherlands,2008,Swimming
Bronze,12,Argentina,2008,Basketball
Silver,1,New Zealand,2004,Triathlon
Gold,7,USA,2012,Gymnastics
Silver,2,Japan,1968,Gymnastics
Bronze,2,Sweden,1912,Tennis
Silver,2,Denmark,1992,Canoeing
Bronze,1,Romania,1984,Boxing
Gold,5,Japan,1998,Ski Jumping
Bronze,9,Denmark,1984,Rowing
Bronze,13,Serbia,2000,Water Polo
Gold,12,UK,1900,Sailing
Bronze,1,Poland,1980,Swimming
Gold,1,Germany,1912,Art Competitions
Silver,2,Ethiopia,2016,Athletics
Silver,2,Romania,1956,Boxing
Gold,3,Czech Republic,1996,Canoeing
Gold,4,Austria,1936,Canoeing
Bronze,4,Czech Republic,2012,Canoeing
Gold,3,China,1996,Diving
Silver,3,Japan,2012,Table Tennis
Silver,3,Japan,2004,Cycling
Silver,5,USA,2010,Speed Skating
Silver,6,Germany,2016,Canoeing
Silver,1,USA,1960,Speed Skating
Bronze,4,France,1960,Equestrianism
Bronze,4,Austria,2014,Biathlon
Gold,1,USA,1968,Figure Skating
Bronze,3,Australia,2016,Canoeing
Gold,3,UK,1976,Modern Pentathlon
Bronze,4,Germany,1972,Bobsleigh
Silver,3,China,1988,Table Tennis
Bronze,1,South Korea,2004,Judo
Gold,1,Ivory Coast,2016,Taekwondo
Silver,1,Italy,1998,Alpine Skiing
Bronze,3,France,1900,Polo
Bronze,3,Italy,1960,Equestrianism
Bronze,2,UK,2016,Badminton
Gold,10,Japan,1964,Gymnastics
Gold,2,Norway,1904,Wrestling
Silver,1,Switzerland,1968,Alpine Skiing
Silver,16,Russia,1980,Swimming
Gold,2,China,2004,Taekwondo
Gold,6,Bahamas,2000,Athletics
Silver,2,USA,1964,Diving
Silver,2,Australia,2000,Canoeing
Bronze,2,Greece,1896,Swimming
Bronze,3,Germany,1908,Rowing
Silver,1,Italy,1956,Wrestling
Bronze,1,Georgia,2000,Boxing
Gold,1,Poland,1952,Boxing
Bronze,1,Romania,1992,Weightlifting
Gold,4,USA,1932,Diving
Bronze,3,UK,1992,Sailing
Silver,1,Switzerland,1998,Alpine Skiing
Bronze,1,Portugal,2000,Judo
Gold,2,Switzerland,1936,Alpinism
Bronze,4,Russia,1964,Equestrianism
Gold,2,Switzerland,1956,Alpine Skiing
